,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
421,2 Beds, $640000,2 Baths,"MLS® ML81907955
",910 ft,"80 Hacienda Carmel, CARMEL, CA 93923Sold"
422,2 Beds, $769000,2 Baths,"MLS® ML81918841
",956 ft,"233 Hacienda Carmel, CARMEL, CA 93923Pending"
423,01 Bed, $52500,1 Bath,"MLS® ML81919200
",624 ft,"59 Hacienda Carmel, CARMEL, CA 93923Under Contract"
424,01 Bed, $50900,1 Bath,"MLS® ML81917586
",625 ft,"97 Hacienda Carmel, CARMEL, CA 93923Active"
425,2 Beds, $644500,2 Baths,"MLS® ML81910818
",966 ft,"259 Hacienda Carmel, CARMEL, CA 93923Sold"
426,2 Beds, $275000,1 Bath,"MLS® ML81911644
","1,266 ft","105 Calle De Quien Sabe, CARMEL VALLEY, CA 93924Sold"
427,2 Beds, $589000,2 Baths,"MLS® ML81911874
","1,264 ft","18197 Cachagua RD, CARMEL VALLEY, CA 93924Sold"
428,2 Beds, $716000,1 Bath,"MLS® ML81912309
",897 ft,"53 Hacienda Carmel, CARMEL, CA 93923Sold"
429,3 Beds, $800000,1.5 Baths,"MLS® ML81901813
",936 ft,"11555 Rancho Fiesta RD, CARMEL VALLEY, CA 93924Sold"
430,2 Beds, $630000,2 Baths,"MLS® ML81909051
","1,017 ft","9500 Center ST 31, CARMEL VALLEY, CA 93923Sold"
431,2 Beds, $550000,1 Bath,"MLS® ML81905311
","1,231 ft","37136 Nason RD, CARMEL VALLEY, CA 93924Sold"
432,2 Beds, $875000,2 Baths,"MLS® ML81910657 
","1,337 ft","4 Del Mesa Carmel, CARMEL, CA 93923Active"
433,2 Beds, $920000,2 Baths,"MLS® ML81905849
","1,439 ft","3850 Rio RD 67, CARMEL, CA 93923Sold"
434,2 Beds, $735000,2 Baths,"MLS® ML81907092
",910 ft,"46 Hacienda Carmel, CARMEL, CA 93923Sold"
435,01 Bed, $55000,1 Bath,"MLS® ML81906599
",625 ft,"197 Hacienda Carmel, CARMEL, CA 93923Sold"
436,2 Beds, $850000,2 Baths,"MLS® ML81903640
","1,040 ft","4000 Rio RD 84, CARMEL, CA 93923Sold"
437,01 Bed, $55000,1 Bath,"MLS® ML81901489
",735 ft,"9500 Center ST 65, CARMEL, CA 93923Sold"
438,2 Beds, $695000,2 Baths,"MLS® ML81904151
",875 ft,"37811 Palo Colorado RD, CARMEL, CA 93923Active"
439,2 Beds, $950000,2 Baths,"MLS® ML81896330
","1,450 ft","95 Calle De Quien Sabe, CARMEL VALLEY, CA 93924Sold"
440,2 Beds, $730000,2 Baths,"MLS® ML81901225
",910 ft,"137 Hacienda Carmel, CARMEL VALLEY, CA 93923Sold"
441,2 Beds, $749000,2 Baths,"MLS® ML81900090
",966 ft,"149 Hacienda Carmel, CARMEL, CA 93923Sold"
442,2 Beds, $925000,2 Baths,"MLS® ML81890027 
",966 ft,"63 Hacienda Carmel, CARMEL, CA 93923Sold"
443,3 Beds, $910000,2.5 Baths,"MLS® ML81863780
","2,048 ft","451 LAURELES GRADE ROAD, CARMEL VALLEY, CA 93924Sold"
444,3 Beds, $740000,2 Baths,"MLS® ML81882373
","1,039 ft","27 Camp Steffani, CARMEL VALLEY, CA 93924Sold"
445,2 Beds, $805000,2 Baths,"MLS® ML81886576
",969 ft,"94 Hacienda Carmel, CARMEL, CA 93923Sold"
446,01 Bed, $55000,1 Bath,"MLS® ML81888856
",735 ft,"9500 Center ST 57, CARMEL, CA 93923Sold"
447,3 Beds, $950000,2 Baths,"MLS® ML81881387
","1,792 ft","19235 Cachagua Road, CARMEL VALLEY, CA 93924Sold"
448,3 Beds, $927500,2.5 Baths,"MLS® ML81888328
","1,363 ft","4000 Rio RD 38, CARMEL, CA 93923Sold"
449,2 Beds, $919000,2 Baths,"MLS® ML81884072
","1,038 ft","172 Hacienda Carmel, CARMEL, CA 93923Sold"
450,2 Beds, $730000,2 Baths,"MLS® ML81884757
",910 ft,"220 Hacienda Carmel, CARMEL, CA 93923Sold"
451,2 Beds, $925000,2 Baths,"MLS® ML81870287
","1,890 ft","104 White Oaks LN 104, CARMEL VALLEY, CA 93924Sold"
452,2 Beds, $840000,2 Baths,"MLS® ML81882562
","1,040 ft","4000 Rio RD 83, CARMEL, CA 93923Sold"
453,2 Beds, $589000,1 Bath,"MLS® ML81880400
",840 ft,"52 Hacienda Carmel, CARMEL, CA 93923Sold"
454,2 Beds, $849000,2 Baths,"MLS® ML81876358
",998 ft,"4000 Rio RD 26, CARMEL, CA 93923Sold"
455,2 Beds, $705000,1 Bath,"MLS® ML81872430
",576 ft,"37295 Garrapatos RD, CARMEL, CA 93923Sold"
456,2 Beds, $920000,2 Baths,"MLS® ML81877395
","1,180 ft","206 Hacienda Carmel, CARMEL, CA 93923Sold"
457,2 Beds, $849000,2 Baths,"MLS® ML81873855
",998 ft,"4000 Rio RD 27, CARMEL, CA 93923Sold"
458,2 Beds, $635000,2 Baths,"MLS® ML81916720
",942 ft,"37446 Parish CIR 8B, FREMONT, CA 94536Sold"
459,3 Beds, $740000,1.5 Baths,"MLS® ML81909790
","1,166 ft","36526 Bedelio TER, FREMONT, CA 94536Sold"
460,3 Beds, $800000,2 Baths,"MLS® ML81914693
","1,170 ft","46887 Chemult CMN 17, FREMONT, CA 94539Sold"
461,3 Beds, $850000,1 Bath,"MLS® ML81914583
","1,079 ft","4746 Central AVE, FREMONT, CA 94536Sold"
462,2 Beds, $668888,2 Baths,"MLS® ML81915866
",897 ft,"46794 Winema CMN 13, FREMONT, CA 94539Sold"
463,2 Beds, $195000,2 Baths,"MLS® ML81913923
","1,440 ft","4141 Deep Creek 105, FREMONT, CA 94555Sold"
464,2 Beds, $645444,2 Baths,"MLS® ML81916125
",942 ft,"37390 Parish CIR 7E, FREMONT, CA 94536Sold"
465,2 Beds, $899000,2 Baths,"MLS® ML81913437
","1,300 ft","2850 Parkside DR, FREMONT, CA 94536Sold"
466,2 Beds, $465000,1 Bath,"MLS® ML81912613
",936 ft,"3660 Knollwood TER 204, FREMONT, CA 94536Sold"
467,2 Beds, $625000,1.5 Baths,"MLS® ML81910353
",988 ft,"4416 Elaiso CMN, FREMONT, CA 94536Sold"
468,3 Beds, $998000,1 Bath,"MLS® ML81912226
",950 ft,"39963 Barbara ST, FREMONT, CA 94538Sold"
469,2 Beds, $645000,2 Baths,"MLS® ML81902497
",897 ft,"412 Sequim CMN, FREMONT, CA 94539Sold"
470,01 Bed, $47980,1 Bath,"MLS® ML81910413
",693 ft,"39059 Guardino DR 308, FREMONT, CA 94538Sold"
471,2 Beds, $724000,1.5 Baths,"MLS® ML81908278
","1,024 ft","3777 Oxford CMN, FREMONT, CA 94536Sold"
472,2 Beds, $610000,2 Baths,"MLS® ML81901894
","1,146 ft","39951 Fremont BLVD 116, FREMONT, CA 94538Sold"
473,2 Beds, $540000,1 Bath,"MLS® ML81905746
",857 ft,"39109 Guardino DR 139, FREMONT, CA 94538Sold"
474,2 Beds, $949900,2.5 Baths,"MLS® ML81903655
","1,174 ft","3454 Dayton CMN, FREMONT, CA 94538Sold"
475,2 Beds, $565000,2 Baths,"MLS® ML81901137
",840 ft,"3288 Red Cedar TER, FREMONT, CA 94536Sold"
476,2 Beds, $720000,1.5 Baths,"MLS® ML81906729
",981 ft,"36373 Fremont BLVD, FREMONT, CA 94536Sold"
477,2 Beds, $628000,1.5 Baths,"MLS® ML81905197
",938 ft,"38623 Cherry LN 159, FREMONT, CA 94536Sold"
478,2 Beds, $700000,2 Baths,"MLS® ML81906693
","1,327 ft","40425 Chapel WAY 208, FREMONT, CA 94538Sold"
479,01 Bed, $41700,1 Bath,"MLS® ML81904590
",593 ft,"37345 Sequoia RD, FREMONT, CA 94536Sold"
480,2 Beds, $830000,1 Bath,"MLS® ML81900686
","1,097 ft","38042 Stenhammer DR, FREMONT, CA 94536Sold"
481,2 Beds, $955000,2.5 Baths,"MLS® ML81903794
","1,290 ft","3967 Fossano CMN, FREMONT, CA 94538Sold"
482,2 Beds, $900000,2 Baths,"MLS® ML81901220
","1,111 ft","38041 3rd ST, FREMONT, CA 94536Sold"
483,2 Beds, $550000,1 Bath,"MLS® ML81905310
",844 ft,"39152 Guardino DR 308, FREMONT, CA 94538Sold"
484,01 Bed, $42500,1 Bath,"MLS® ML81905484
",593 ft,"3392 Red Cedar TER, FREMONT, CA 94536Sold"
485,2 Beds, $170000,2 Baths,"MLS® ML81883668
","1,440 ft","711 Old Canyon 58, FREMONT, CA 94536Sold"
486,2 Beds, $485000,1 Bath,"MLS® ML81901446
",750 ft,"3381 Foxtail TER, FREMONT, CA 94536Sold"
487,3 Beds, $780000,1.5 Baths,"MLS® ML81904209
","1,242 ft","4554 Deerfield TER, FREMONT, CA 94538Sold"
488,2 Beds, $530000,1.5 Baths,"MLS® ML81901639
",950 ft,"2755 Country DR 140, FREMONT, CA 94536Sold"
489,3 Beds, $800000,1.5 Baths,"MLS® ML81902487
","1,242 ft","4629 Fanwood TER, FREMONT, CA 94538Sold"
490,2 Beds, $951000,2 Baths,"MLS® ML81896202
","1,206 ft","45378 Tom Blalock ST 202, FREMONT, CA 94539Sold"
491,2 Beds, $720000,2 Baths,"MLS® ML81901897
","1,168 ft","1057 Huntington CMN, FREMONT, CA 94536Sold"
492,000, $323,1 Bath,"MLS® ML81904895
",421 ft,"37399 Sequoia RD, FREMONT, CA 94536Sold"
493,2 Beds, $550000,1 Bath,"MLS® ML81900922
",857 ft,"39109 Guardino DR 338, FREMONT, CA 94538Sold"
494,2 Beds, $800000,2 Baths,"MLS® ML81901983
","1,178 ft","38740 Tyson LN 109B, FREMONT, CA 94536Sold"
495,2 Beds, $788000,1.5 Baths,"MLS® ML81900378
","1,018 ft","46962 Masonic TER, FREMONT, CA 94539Sold"
496,2 Beds, $625000,1.5 Baths,"MLS® ML81899911
",938 ft,"38623 Cherry LN 183, FREMONT, CA 94536Sold"
497,2 Beds, $720000,2 Baths,"MLS® ML81892972
",930 ft,"34785 Mosaic CMN 27, FREMONT, CA 94555Sold"
498,3 Beds, $865000,1.5 Baths,"MLS® ML81898319
","1,168 ft","3683 Colet TER, FREMONT, CA 94536Sold"
499,2 Beds, $575000,1 Bath,"MLS® ML81899457
",748 ft,"4067 Abbey TER 120, FREMONT, CA 94536Sold"
500,2 Beds, $980000,2 Baths,"MLS® ML81898781
","1,060 ft","3858 Lake Mead DR, FREMONT, CA 94555Sold"
501,2 Beds, $823501,1 Bath,"MLS® ML81898410
","1,016 ft","280 Hirsch TER, FREMONT, CA 94536Sold"
502,2 Beds, $855000,2 Baths,"MLS® ML81886443
","1,395 ft","37096 Dusterberry WAY 10, FREMONT, CA 94536Sold"
503,3 Beds, $700000,2 Baths,"MLS® ML81900185
","1,101 ft","38623 Cherry LN 223, FREMONT, CA 94536Sold"
504,2 Beds, $925000,2 Baths,"MLS® ML81897038
","1,382 ft","102 Boston Fern CMN U248, FREMONT, CA 94539Sold"
505,3 Beds, $792000,3 Baths,"MLS® ML81896768
","1,319 ft","3695 Stevenson BLVD D218, FREMONT, CA 94538Sold"
506,01 Bed, $50500,1 Bath,"MLS® ML81899195
",693 ft,"39034 Guardino DR 303, FREMONT, CA 94538Sold"
507,2 Beds, $776000,1.5 Baths,"MLS® ML81895619
","1,066 ft","4062 Lorenzo TER, FREMONT, CA 94536Sold"
508,2 Beds, $289000,2 Baths,"MLS® ML81893368
","1,344 ft","711 Old Canyon RD 13, FREMONT, CA 94536Sold"
509,2 Beds, $540000,1 Bath,"MLS® ML81897918
",857 ft,"39109 Guardino DR 140, FREMONT, CA 94538Sold"
510,2 Beds, $990000,2.5 Baths,"MLS® ML81890410
","1,429 ft","40749 Greystone TER, FREMONT, CA 94538Sold"
511,01 Bed, $43450,1 Bath,"MLS® ML81899583
",593 ft,"37326 Spruce TER, FREMONT, CA 94536Sold"
512,000, $330,1 Bath,"MLS® ML81895181
",421 ft,"3373 Foxtail TER, FREMONT, CA 94536Sold"
513,2 Beds, $720000,2 Baths,"MLS® ML81895340 
","1,215 ft","39191 Argonaut WAY 115, FREMONT, CA 94538Sold"
514,01 Bed, $38500,1 Bath,"MLS® ML81892251
",712 ft,"37168 Meadowbrook CMN 304, FREMONT, CA 94536Sold"
515,3 Beds, $700000,2 Baths,"MLS® ML81889616
","1,228 ft","40425 Chapel WAY 101, FREMONT, CA 94538Sold"
516,2 Beds, $519999,1 Bath,"MLS® ML81896148
",789 ft,"38627 Cherry 112, FREMONT, CA 94536Sold"
517,2 Beds, $749000,1.5 Baths,"MLS® ML81888362
","1,140 ft","344 Goleta TER, FREMONT, CA 94536Sold"
518,2 Beds, $650000,1 Bath,"MLS® ML81894269
",910 ft,"4686 Balboa WAY, FREMONT, CA 94536Sold"
519,2 Beds, $770000,2 Baths,"MLS® ML81892968
","1,244 ft","4463 Hyde CMN 318, FREMONT, CA 94538Sold"
520,4 Beds, $860000,2.5 Baths,"MLS® ML81892734
","1,474 ft","36910 Bolina TER, FREMONT, CA 94536Sold"
521,01 Bed, $49800,1 Bath,"MLS® ML81891517
",693 ft,"39152 Guardino DR 304, FREMONT, CA 94538Sold"
522,2 Beds, $155000,1 Bath,"MLS® ML81887209
","1,044 ft","289 Winnipeg Terrace TER 289, FREMONT, CA 94538Sold"
523,3 Beds, $850000,1.5 Baths,"MLS® ML81891867
","1,126 ft","4021 Malva TER, FREMONT, CA 94536Sold"
524,2 Beds, $651000,2 Baths,"MLS® ML81890607
","1,061 ft","3580 Birchwood TER 202, FREMONT, CA 94536Sold"
525,2 Beds, $900000,2.5 Baths,"MLS® ML81891202 
","1,081 ft","37 Silk Oak TER, FREMONT, CA 94536Sold"
526,2 Beds, $800000,1.5 Baths,"MLS® ML81891147
",991 ft,"34755 Tuxedo CMN 58, FREMONT, CA 94555Sold"
527,3 Beds, $978500,2 Baths,"MLS® ML81890345
","1,402 ft","4463 Hyde CMN 329, FREMONT, CA 94538Sold"
528,2 Beds, $700000,2 Baths,"MLS® ML81892356
",926 ft,"47164 Male TER 88, FREMONT, CA 94539Sold"
529,01 Bed, $9250,1 Bath,"MLS® ML81881194
",576 ft,"240 Manitoba Green 240, FREMONT, CA 94538Sold"
530,01 Bed, $36000,1 Bath,"MLS® ML81889458
",714 ft,"3651 Knollwood TER 112, FREMONT, CA 94536Sold"
531,2 Beds, $730000,2 Baths,"MLS® ML81888308
",928 ft,"38630 Country CMN 311, FREMONT, CA 94536Sold"
532,2 Beds, $394414,2 Baths,"MLS® ML81894875
","1,231 ft","34112 Via Lucca, FREMONT, CA 94555Sold"
533,2 Beds, $560000,1 Bath,"MLS® ML81893469
",844 ft,"39152 Guardino DR 108, FREMONT, CA 94538Sold"
534,2 Beds, $735000,2 Baths,"MLS® ML81888272
","1,053 ft","39029 Guardino DR 224, FREMONT, CA 94538Sold"
535,2 Beds, $730000,2 Baths,"MLS® ML81887294
","1,077 ft","39224 Guardino DR 218, FREMONT, CA 94538Sold"
536,2 Beds, $575000,2 Baths,"MLS® ML81886881
",981 ft,"3509 Pepperwood TER 206, FREMONT, CA 94536Sold"
537,01 Bed, $51000,1 Bath,"MLS® ML81888860
",723 ft,"38612 Country TER, FREMONT, CA 94536Sold"
538,01 Bed, $70000,1 Bath,"MLS® ML81880219
",728 ft,"3658 Capitol AVE Unit 402A, FREMONT, CA 94538Sold"
539,01 Bed, $64000,1 Bath,"MLS® ML81886369
","1,030 ft","39191 Argonaut WAY 214, FREMONT, CA 94538Sold"
540,3 Beds, $399000,2 Baths,"MLS® ML81872773
","2,000 ft","94 Delta GRN 94, FREMONT, CA 94538Sold"
541,2 Beds, $750000,1.5 Baths,"MLS® ML81885417
","1,024 ft","3333 Howard CMN, FREMONT, CA 94536Sold"
542,2 Beds, $680000,2 Baths,"MLS® ML81884515
",835 ft,"172 Hackamore LN, FREMONT, CA 94539Sold"
543,2 Beds, $590000,1 Bath,"MLS® ML81884720
",844 ft,"39152 Guardino DR 208, FREMONT, CA 94538Sold"
544,2 Beds, $642000,2 Baths,"MLS® ML81891140
",991 ft,"3575 Buttonwood TER 104, FREMONT, CA 94536Sold"
545,2 Beds, $785000,2 Baths,"MLS® ML81886796
",944 ft,"3467 Pennsylvania CMN 16A, FREMONT, CA 94536Sold"
546,3 Beds, $795000,2 Baths,"MLS® ML81884611
","1,228 ft","40425 Chapel WAY 114, FREMONT, CA 94538Sold"
547,2 Beds, $665000,2 Baths,"MLS® ML81886028
","1,052 ft","40425 Chapel WAY 311, FREMONT, CA 94538Sold"
548,2 Beds, $595000,2 Baths,"MLS® ML81885491
",990 ft,"37050 Meadowbrook CMN 203, FREMONT, CA 94536Sold"
549,2 Beds, $650000,2 Baths,"MLS® ML81883549
","1,013 ft","3300 Wolcott CMN 212, FREMONT, CA 94538Sold"
550,2 Beds, $570000,1 Bath,"MLS® ML81883925
",844 ft,"39034 Guardino DR 106, FREMONT, CA 94538Sold"
551,2 Beds, $710000,2 Baths,"MLS® ML81889228
","1,052 ft","40425 Chapel WAY 110, FREMONT, CA 94538Sold"
552,2 Beds, $620000,1 Bath,"MLS® ML81882956
",882 ft,"1930 Barrymore CMN W, FREMONT, CA 94538Sold"
553,01 Bed, $50000,1 Bath,"MLS® ML81886968
",693 ft,"39199 Guardino DR 377, FREMONT, CA 94538Sold"
554,3 Beds, $955000,2 Baths,"MLS® ML81883717
","1,389 ft","4027 Rector CMN, FREMONT, CA 94538Sold"
555,01 Bed, $50500,1 Bath,"MLS® ML81883592
",693 ft,"39034 Guardino DR 205, FREMONT, CA 94538Sold"
556,2 Beds, $825000,1 Bath,"MLS® ML81883530
",791 ft,"43103 Washington CMN, FREMONT, CA 94539Sold"
557,01 Bed, $57500,1 Bath,"MLS® ML81887792
",716 ft,"5005 Crystal, FREMONT, CA 94555Sold"
558,01 Bed, $48000,1 Bath,"MLS® ML81881753
",593 ft,"3394 Red Cedar TER, FREMONT, CA 94536Sold"
559,2 Beds, $720000,1.5 Baths,"MLS® ML81880169
","1,080 ft","38602 Sanborn Terrace, FREMONT, CA 94536Sold"
560,01 Bed, $52000,1 Bath,"MLS® ML81877673 
",634 ft,"34663 Loreal TER, FREMONT, CA 94555Sold"
561,01 Bed, $48400,1 Bath,"MLS® ML81879857
",693 ft,"39224 Guardino DR 115, FREMONT, CA 94538Sold"
562,2 Beds, $590000,1 Bath,"MLS® ML81878485
",789 ft,"38623 Cherry LN 131, FREMONT, CA 94536Sold"
563,01 Bed, $38200,1 Bath,"MLS® ML81873629
",714 ft,"37050 Meadowbrook CMN 302, FREMONT, CA 94536Sold"
564,2 Beds, $830000,1 Bath,"MLS® ML81879116
",680 ft,"3788 Almond AVE, FREMONT, CA 94538Sold"
565,01 Bed, $38300,1 Bath,"MLS® ML81876023
",714 ft,"3416 Deerwood TER 312, FREMONT, CA 94536Sold"
566,2 Beds, $773500,2 Baths,"MLS® ML81876257
",930 ft,"4858 Richland TER, FREMONT, CA 94555Sold"
567,2 Beds, $630000,1 Bath,"MLS® ML81876366
",844 ft,"39219 Guardino DR 167, FREMONT, CA 94538Sold"
568,2 Beds, $762000,2 Baths,"MLS® ML81875783
",926 ft,"366 Stacey CMN, FREMONT, CA 94539Sold"
569,2 Beds, $960000,2.5 Baths,"MLS® ML81876802
","1,102 ft","34753 Hemet CMN, FREMONT, CA 94555Sold"
570,2 Beds, $880000,1.5 Baths,"MLS® ML81875792
",991 ft,"34734 Fairchild CMN, FREMONT, CA 94555Sold"
571,2 Beds, $663000,2 Baths,"MLS® ML81877564
","1,146 ft","39951 Fremont BLVD 320, FREMONT, CA 94538Sold"
572,2 Beds, $750000,2 Baths,"MLS® ML81876883
","1,040 ft","3695 Stevenson BLVD D220, FREMONT, CA 94538Sold"
573,2 Beds, $675000,1 Bath,"MLS® ML81871636
",943 ft,"46883 Fernald CMN, FREMONT, CA 94539Sold"
574,2 Beds, $890000,2 Baths,"MLS® ML81875884
","1,100 ft","5264 Tacoma CMN 55, FREMONT, CA 94555Sold"
575,2 Beds, $619000,1.5 Baths,"MLS® ML81867240 
","1,123 ft","38735 Aurora TER 18, FREMONT, CA 94536Sold"
576,2 Beds, $750000,2 Baths,"MLS® ML81913817
","1,286 ft","415 Rhythm LN, HAYWARD, CA 94544Sold"
577,3 Beds, $952000,2 Baths,"MLS® ML81916118
","1,244 ft","25852 Gettysburg AVE, HAYWARD, CA 94545Sold"
578,3 Beds, $859000,3 Baths,"MLS® ML81916066
","2,370 ft","784 W A ST, HAYWARD, CA 94541Sold"
579,3 Beds, $880000,2 Baths,"MLS® ML81915368
","1,161 ft","31031 Hershey WAY, HAYWARD, CA 94544Sold"
580,3 Beds, $790000,2.5 Baths,"MLS® ML81911746
","1,418 ft","706 City Walk PL 8, HAYWARD, CA 94541Sold"
581,2 Beds, $170000,2 Baths,"MLS® ML81907604
","1,440 ft","29331 Providence WAY 29331, HAYWARD, CA 94544Sold"
582,3 Beds, $950000,2 Baths,"MLS® ML81914275
","1,814 ft","1073 Central BLVD, HAYWARD, CA 94542Sold"
583,3 Beds, $750000,1 Bath,"MLS® ML81906551
","1,319 ft","22237 Victory DR, HAYWARD, CA 94541Sold"
584,3 Beds, $875000,2 Baths,"MLS® ML81900894
","1,408 ft","659 Gleneagle AVE, HAYWARD, CA 94544Sold"
585,4 Beds, $975000,3 Baths,"MLS® ML81896216
","2,439 ft","22860 Mono ST, HAYWARD, CA 94541Sold"
586,3 Beds, $775000,2 Baths,"MLS® ML81903180
","1,199 ft","1956 Depot, HAYWARD, CA 94545Sold"
587,4 Beds, $790000,2 Baths,"MLS® ML81914110
","1,748 ft","678 Barron WAY, HAYWARD, CA 94544Sold"
588,3 Beds, $830000,3 Baths,"MLS® ML81912464
","1,191 ft","24644 Tioga RD, HAYWARD, CA 94544Sold"
589,3 Beds, $910000,3.5 Baths,"MLS® ML81911666
","1,760 ft","221 Span CT, HAYWARD, CA 94544Sold"
590,2 Beds, $424500,2 Baths,"MLS® ML81912127
",725 ft,"29300 Dixon ST 315, HAYWARD, CA 94544Sold"
591,2 Beds, $650000,1 Bath,"MLS® ML81910968
","1,068 ft","1582 D ST, HAYWARD, CA 94541Sold"
592,3 Beds, $627500,2.5 Baths,"MLS® ML81901604
","1,332 ft","17990 Azalea RD, HAYWARD, CA 94541Sold"
593,4 Beds, $690000,2.5 Baths,"MLS® ML81911437
","1,474 ft","27710 Del Norte CT, HAYWARD, CA 94545Sold"
594,2 Beds, $567615,2 Baths,"MLS® ML81912472
","1,241 ft","22012 Sevilla RD 92, HAYWARD, CA 94541Sold"
595,5 Beds, $907000,1.5 Baths,"MLS® ML81894408
","2,656 ft","22274 Main ST, HAYWARD, CA 94541Sold"
596,3 Beds, $710000,2 Baths,"MLS® ML81911672
","1,119 ft","1272 Encina ST, HAYWARD, CA 94544Sold"
597,2 Beds, $235000,2 Baths,"MLS® ML81904901
","1,368 ft","1414 Alcazar AVE 298, HAYWARD, CA 94545Sold"
598,4 Beds, $973958,3.5 Baths,"MLS® ML81902719
","1,892 ft","Industrial PKWY, HAYWARD, CA 94544Sold"
599,3 Beds, $768880,1 Bath,"MLS® ML81911069
","1,064 ft","1723 Tulip AVE, HAYWARD, CA 94545Sold"
600,3 Beds, $792000,2 Baths,"MLS® ML81912358
","1,128 ft","27530 Bahama AVE, HAYWARD, CA 94545Sold"
601,81 Bed, $37114,1 Bath,"MLS® ML81875567
",429 ft,"482 Trace LN, HAYWARD, CA 94544Sold"
602,3 Beds, $775000,2.5 Baths,"MLS® ML81907071
","1,558 ft","1187 Hat Creek Way, HAYWARD, CA 94544Sold"
603,3 Beds, $865000,2 Baths,"MLS® ML81911697
","1,386 ft","28337 Cubberley CT, HAYWARD, CA 94545Sold"
604,3 Beds, $710000,2 Baths,"MLS® ML81908391
","1,221 ft","21772 Westfield AVE, HAYWARD, CA 94541Sold"
605,3 Beds, $775000,2 Baths,"MLS® ML81911036
","1,138 ft","24019 2nd ST, HAYWARD, CA 94541Sold"
606,2 Beds, $750000,2 Baths,"MLS® ML81892383
","1,286 ft","507 Delve CT, HAYWARD, CA 94544Sold"
607,2 Beds, $770000,2 Baths,"MLS® ML81892360
","1,501 ft","515 Delve CT, HAYWARD, CA 94544Sold"
608,2 Beds, $853703,2 Baths,"MLS® ML81877274
","1,501 ft","519 Delve CT, HAYWARD, CA 94544Sold"
609,4 Beds, $800000,3 Baths,"MLS® ML81893842
","1,524 ft","1514 Sumatra ST, HAYWARD, CA 94544Sold"
610,3 Beds, $685000,2 Baths,"MLS® ML81882812 
","1,000 ft","27730 Pensacola WAY, HAYWARD, CA 94544Sold"
611,2 Beds, $750000,2 Baths,"MLS® ML81887659
","1,286 ft","527 Delve CT, HAYWARD, CA 94544Sold"
612,3 Beds, $710000,1 Bath,"MLS® ML81890812
",951 ft,"396 Thorne DR, HAYWARD, CA 94544Sold"
613,01 Bed, $38000,1 Bath,"MLS® ML81907521
",531 ft,"658 River Oak WAY 76, HAYWARD, CA 94544Sold"
614,81 Bed, $37114,1 Bath,"MLS® ML81890047
",429 ft,"565 Delve CT, HAYWARD, CA 94544Sold"
615,3 Beds, $400000,2 Baths,"MLS® ML81892600
","1,762 ft","28973 Kensington RD _, HAYWARD, CA 94544Sold"
616,2 Beds, $825442,2 Baths,"MLS® ML81880992
","1,501 ft","561 Delve CT, HAYWARD, CA 94544Sold"
617,3 Beds, $835000,2 Baths,"MLS® ML81907532
","1,393 ft","24633 Waterson CT, HAYWARD, CA 94544Sold"
618,4 Beds, $940000,2 Baths,"MLS® ML81908170
","1,672 ft","2509 Tahoe AVE, HAYWARD, CA 94545Sold"
619,2 Beds, $400000,1.5 Baths,"MLS® ML81903968
",900 ft,"450 Craven CT, HAYWARD, CA 94541Sold"
620,81 Bed, $37114,1 Bath,"MLS® ML81886970
",429 ft,"346 Trace LN, HAYWARD, CA 94544Sold"
621,3 Beds, $830000,2 Baths,"MLS® ML81903017
","1,430 ft","721 Garin AVE, HAYWARD, CA 94544Sold"
622,2 Beds, $700000,2 Baths,"MLS® ML81890789
",683 ft,"336 Orchard AVE, HAYWARD, CA 94544Sold"
623,3 Beds, $705000,2.5 Baths,"MLS® ML81899534
","1,356 ft","600 Old Oak LN 4, HAYWARD, CA 94541Sold"
624,01 Bed, $49000,1 Bath,"MLS® ML81896766
",870 ft,"12 Crystal Gate, HAYWARD, CA 94544Sold"
625,3 Beds, $713000,2.5 Baths,"MLS® ML81903749
","1,361 ft","740 City Walk PL 2, HAYWARD, CA 94541Sold"
626,3 Beds, $750000,3 Baths,"MLS® ML81899291
","1,333 ft","697 Chase AVE, HAYWARD, CA 94541Sold"
627,2 Beds, $485000,2 Baths,"MLS® ML81898437
",855 ft,"25113 Copa Del Oro DR 102, HAYWARD, CA 94545Sold"
628,4 Beds, $999999,3 Baths,"MLS® ML81899707
","2,282 ft","24746 Willimet WAY, HAYWARD, CA 94544Sold"
629,4 Beds, $936000,3.5 Baths,"MLS® ML81904820
","1,812 ft","24512 Autumn Mist WAY, HAYWARD, CA 94544Sold"
630,3 Beds, $953000,2.5 Baths,"MLS® ML81900366
","1,624 ft","101 Orchard Park PL, HAYWARD, CA 94544Sold"
631,4 Beds, $900000,2 Baths,"MLS® ML81900219
","1,518 ft","1249 Inglewood ST, HAYWARD, CA 94544Sold"
632,3 Beds, $560000,2 Baths,"MLS® ML81903221
",958 ft,"25113 Copa Del Oro DR 103, HAYWARD, CA 94545Sold"
633,3 Beds, $705000,2 Baths,"MLS® ML81899197
","1,000 ft","27704 Havana AVE, HAYWARD, CA 94544Sold"
634,2 Beds, $535000,1.5 Baths,"MLS® ML81903476
","1,071 ft","27779 Vasona CT 20, HAYWARD, CA 94544Sold"
635,2 Beds, $260000,2 Baths,"MLS® ML81898247
","1,440 ft","29255 Harpoon WAY 383, HAYWARD, CA 94544Sold"
