,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
96,2 Beds, $949888,2 Baths,"MLS® ML81917620
","1,284 ft","1500 Broadway P2, BURLINGAME, CA 94010Active"
97,01 Bed, $74900,1 Bath,"MLS® ML81919641
",562 ft,"578 Vista AVE, PALO ALTO, CA 94306Active"
98,01 Bed, $94800,1 Bath,"MLS® ML81919541
",870 ft,"3069 Middlefield RD 102, PALO ALTO, CA 94306Active"
99,2 Beds, $798000,1 Bath,"MLS® ML81914718
",906 ft,"2460 W Bayshore RD 9, PALO ALTO, CA 94303Active"
100,01 Bed, $98500,1 Bath,"MLS® ML81913100
",931 ft,"540 Guinda ST, PALO ALTO, CA 94301Active"
101,3 Beds, $939900,2.5 Baths,"MLS® ML81919800
","1,218 ft","1022 Helen AVE, SANTA CLARA, CA 95051Active"
102,2 Beds, $940000,2 Baths,"MLS® ML81918457
","1,037 ft","1368 El Camino Real 202, SANTA CLARA, CA 95050Pending"
103,2 Beds, $629000,2 Baths,"MLS® ML81919008
",956 ft,"3015 Kaiser DR C, SANTA CLARA, CA 95051Pending"
104,01 Bed, $48000,1 Bath,"MLS® ML81917525
",770 ft,"151 Buckingham DR 271, SANTA CLARA, CA 95051Under Contract"
105,2 Beds, $749000,2 Baths,"MLS® ML81918626
","1,062 ft","1400 Bowe AVE 1504, SANTA CLARA, CA 95051Active"
106,2 Beds, $934800,2 Baths,"MLS® ML81918279
","1,475 ft","2151 Rancho McCormick BLVD, SANTA CLARA, CA 95050Pending"
107,2 Beds, $899900,1 Bath,"MLS® ML81917958
",904 ft,"2447 S Park LN, SANTA CLARA, CA 95051Under Contract"
108,3 Beds, $945888,2.5 Baths,"MLS® ML81917244
","1,493 ft","2095 Scott BLVD 5, SANTA CLARA, CA 95050Pending"
109,2 Beds, $619950,2 Baths,"MLS® ML81913190
",956 ft,"976 Kiely BLVD J, SANTA CLARA, CA 95051Pending"
110,2 Beds, $650000,2 Baths,"MLS® ML81918077
",983 ft,"1720 Halford AVE 221, SANTA CLARA, CA 95051Active"
111,01 Bed, $47800,1 Bath,"MLS® ML81916070
",678 ft,"1730 Halford AVE 144, SANTA CLARA, CA 95051Pending"
112,2 Beds, $600000,1 Bath,"MLS® ML81917144
",712 ft,"2600 Cortez DR 6202, SANTA CLARA, CA 95051Active"
113,01 Bed, $56800,1 Bath,"MLS® ML81916109
",820 ft,"2380 Homestead RD 3105, SANTA CLARA, CA 95050Active"
114,01 Bed, $89900,1 Bath,"MLS® ML81915114
",650 ft,"437 Jefferson ST, SANTA CLARA, CA 95050Active"
115,2 Beds, $849950,2.5 Baths,"MLS® ML81904824
","1,300 ft","1031 Clyde AVE 803, SANTA CLARA, CA 95054Active"
116,2 Beds, $948000,2 Baths,"MLS® ML81919030
","1,206 ft","20722 Celeste CIR, CUPERTINO, CA 95014Pending"
117,2 Beds, $999000,2.5 Baths,"MLS® ML81919077
","1,326 ft","19964 Portal PLZ, CUPERTINO, CA 95014Active"
118,2 Beds, $999888,2 Baths,"MLS® ML81918766
","1,008 ft","10063 Long Oak LN, CUPERTINO, CA 95014Active"
119,01 Bed, $79900,1 Bath,"MLS® ML81914903
",850 ft,"20488 Stevens Creek BLVD 1409, CUPERTINO, CA 95014Active"
120,01 Bed, $83900,1 Bath,"MLS® ML81910439
",850 ft,"20488 Stevens Creek BLVD 1708, CUPERTINO, CA 95014Active"
